Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Arah angin saat kecepatan maksimum (°),Kecepatan angin rata-rata (m/s),Arah angin terbanyak (°)
01-08-2023,24,33.2,28.7,68.0,-,6.0,6.0,240.0,2.0,E 
02-08-2023,26,32.4,29.4,72.0,0,7.0,4.0,320.0,2.0,S 
03-08-2023,26.8,33.6,29.4,75.0,0,0.7,5.0,320.0,1.0,C 
04-08-2023,-,34.2,29.6,74.0,0,3.5,4.0,320.0,1.0,C 
05-08-2023,26.6,33.0,29.4,71.0,-,6.5,4.0,350.0,1.0,C 
06-08-2023,26.4,33.4,28.8,73.0,0,6.8,7.0,20.0,2.0,C 
07-08-2023,26.2,32.6,28.8,76.0,0,7.0,5.0,310.0,1.0,C 
08-08-2023,26.4,34.0,29.0,77.0,-,5.2,7.0,320.0,2.0,C 
09-08-2023,26,33.4,28.7,75.0,0,7.0,4.0,320.0,0.0,C 
10-08-2023,25.8,33.2,28.3,76.0,0,7.2,6.0,320.0,1.0,C 
11-08-2023,26.4,31.5,28.6,74.0,0,6.7,6.0,320.0,2.0,C 
12-08-2023,25.8,33.6,28.8,66.0,-,5.0,5.0,310.0,1.0,C 
13-08-2023,25.6,32.4,28.2,70.0,0,7.0,4.0,180.0,1.0,C 
14-08-2023,25.8,32.8,28.4,72.0,0,6.7,4.0,160.0,2.0,C 
15-08-2023,26,32.2,28.4,74.0,0,7.0,3.0,40.0,1.0,C 
16-08-2023,26.4,33.6,28.8,72.0,-,7.0,4.0,320.0,1.0,C 
17-08-2023,25,32.4,28.2,70.0,-,5.5,7.0,350.0,1.0,C 
18-08-2023,25.8,32.4,28.2,71.0,0,7.2,10.0,320.0,2.0,C 
19-08-2023,26.2,33.0,28.9,71.0,0,6.8,4.0,100.0,2.0,C 
20-08-2023,26.4,34.8,29.4,72.0,-,7.0,5.0,210.0,1.0,C 
21-08-2023,25,33.4,29.2,68.0,0,6.8,4.0,180.0,1.0,C 
22-08-2023,26,32.2,28.8,70.0,0,4.5,5.0,130.0,2.0,C 
23-08-2023,26.2,32.6,29.0,68.0,0,4.5,5.0,320.0,2.0,C 
24-08-2023,26,33.6,29.2,70.0,0,5.5,3.0,130.0,1.0,C 
25-08-2023,26,33.0,28.8,74.0,-,7.2,5.0,320.0,1.0,C 
26-08-2023,27,32.2,29.1,74.0,0,7.4,5.0,70.0,1.0,C 
27-08-2023,27.4,32.2,29.0,76.0,0,4.5,2.0,30.0,1.0,C 
28-08-2023,25.6,33.6,28.7,71.0,1.8,5.0,3.0,330.0,1.0,C 
29-08-2023,25,33.2,28.7,71.0,-,5.0,0.0,0.0,0.0,C 
30-08-2023,26,32.2,28.5,72.0,0,7.5,5.0,80.0,2.0,C 
31-08-2023,25.2,32.2,28.2,73.0,0,7.5,5.0,330.0,1.0,C 
01-09-2023,25.4,32.6,28.0,72.0,-,7.0,4.0,300.0,1.0,C 
02-09-2023,25,31.6,28.5,71.0,-,7.4,5.0,310.0,1.0,C 
03-09-2023,26.6,32.6,28.9,68.0,8888,4.7,4.0,190.0,1.0,C 
04-09-2023,24.2,33.4,28.3,62.0,0,5.5,5.0,120.0,1.0,C 
05-09-2023,24.6,33.6,28.4,63.0,-,7.5,3.0,210.0,0.0,C 
06-09-2023,25.2,33.4,28.7,65.0,0,8.0,3.0,90.0,0.0,C 
07-09-2023,26,32.6,28.7,70.0,0,9.2,6.0,320.0,1.0,C 
08-09-2023,26.6,33.2,29.0,74.0,0,9.3,3.0,300.0,1.0,C 
09-09-2023,26.6,33.0,29.3,72.0,-,8.0,8.0,330.0,1.0,C 
10-09-2023,26.2,31.8,28.4,66.0,0,8.0,4.0,310.0,1.0,C 
11-09-2023,26.6,33.0,29.1,66.0,0,6.7,5.0,320.0,1.0,C 
12-09-2023,26.2,34.4,29.6,65.0,0,6.0,4.0,120.0,1.0,C 
13-09-2023,26.6,33.0,29.5,67.0,-,8.0,4.0,290.0,0.0,C 
14-09-2023,25,33.6,29.2,64.0,-,7.0,7.0,330.0,1.0,C 
15-09-2023,26,34.2,29.5,65.0,0,8.2,3.0,40.0,1.0,C 
16-09-2023,26.4,33.4,29.3,68.0,0,9.0,4.0,310.0,1.0,C 
17-09-2023,26.6,33.0,29.1,70.0,0,8.0,6.0,340.0,1.0,C 
18-09-2023,26.8,32.4,29.0,73.0,0,7.4,9.0,330.0,1.0,C 
19-09-2023,27.4,32.6,29.7,72.0,0,8.2,2.0,330.0,0.0,C 
20-09-2023,26.6,32.8,28.9,73.0,0,3.0,3.0,320.0,0.0,C 
21-09-2023,-,33.4,29.3,70.0,0,8.0,6.0,330.0,1.0,C 
22-09-2023,25,32.6,28.8,70.0,-,7.0,8.0,340.0,1.0,C 
23-09-2023,26.4,32.6,28.9,66.0,0,8.0,4.0,310.0,1.0,C 
24-09-2023,26.6,32.2,28.7,72.0,0,3.6,6.0,310.0,1.0,C 
25-09-2023,25.6,34.2,29.3,66.0,-,6.0,5.0,270.0,1.0,C 
26-09-2023,25,34.0,29.5,66.0,-,9.0,4.0,320.0,0.0,C 
27-09-2023,26,35.0,29.8,58.0,0,9.0,3.0,130.0,1.0,C 
28-09-2023,-,35.2,30.0,58.0,0,9.8,7.0,80.0,1.0,C 
29-09-2023,26.8,36.8,30.4,59.0,0,9.5,3.0,130.0,1.0,C 
30-09-2023,25.6,33.0,29.1,70.0,-,9.2,3.0,280.0,1.0,C 
